"Species"	"Parameter"	"Level"	"Value"
"Fababean"	"coeff_width_leaflet1"	"Default"	0.690536840217465
"Fababean"	"coeff_width_leaflet1"	"q1"	0.642424242424242
"Fababean"	"coeff_width_leaflet1"	"q3"	0.744055944055944
"Fababean"	"coeff_width_leaflet2"	"Default"	0.52576180667712
"Fababean"	"coeff_width_leaflet2"	"q1"	0.5
"Fababean"	"coeff_width_leaflet2"	"q3"	0.565217391304348
"Fababean"	"coeff_petiole_leaflet1"	"Default"	0.233540714011381
"Fababean"	"coeff_petiole_leaflet1"	"q1"	0.181445603576751
"Fababean"	"coeff_petiole_leaflet1"	"q3"	0.324127264692886
"Fababean"	"coeff_petiole_leaflet2"	"Default"	0.920480222899129
"Fababean"	"coeff_petiole_leaflet2"	"q1"	0.819672131147541
"Fababean"	"coeff_petiole_leaflet2"	"q3"	1.05660377358491
"Fababean"	"ins_angle"	"Default"	37.7985074626866
"Fababean"	"ins_angle"	"q1"	26.25
"Fababean"	"ins_angle"	"q3"	45
"Fababean"	"rmax"	"Default"	0.65005192617206
"Fababean"	"rmax"	"q1"	0.583699525398067
"Fababean"	"rmax"	"q3"	0.746347200381635
"Fababean"	"k"	"Default"	2.62971808931429
"Fababean"	"k"	"q1"	1.16485781648376
"Fababean"	"k"	"q3"	2.49186625645388
"Fababean"	"L_height"	"Default"	36.0056771131263
"Fababean"	"L_height"	"q1"	23.1934536983573
"Fababean"	"L_height"	"q3"	48.8179005278954
"Fababean"	"x0_height"	"Default"	548.304997985381
"Fababean"	"x0_height"	"q1"	208.89933885733
"Fababean"	"x0_height"	"q3"	887.710657113431
"Fababean"	"k_height"	"Default"	0.00950240141942771
"Fababean"	"k_height"	"q1"	-0.0164620794544861
"Fababean"	"k_height"	"q3"	0.0354668822933415
"Fababean"	"phyllot"	"Default"	163.5
"Fababean"	"phyllot"	"q1"	147.15
"Fababean"	"phyllot"	"q3"	179.85
"Fababean"	"phylloc"	"Default"	0.0104583638185511
"Fababean"	"phylloc"	"q1"	0.0100592630872002
"Fababean"	"phylloc"	"q3"	0.0110270161896647
